category_id,activity_value,activity_unit,ef_value,calculated_co2e,intensity,data_quality,region,is_anomaly,anomaly_type,log_activity,log_co2e,log_ef,log_intensity,co2e_check_ratio,log_co2e_check
4,46605.2064,1,0.278931,12.999625,0.0002789307,1,1,0,none,10.749488995794819,2.639030543542229,0.24602457274425318,0.00027889180606460577,0.9999990902470154,-9.09753398437986e-07
3,21176.6573,3,1.380094,29.22577,0.0013800936,0,1,0,none,9.960702003972607,3.408694871776028,0.8671399827017641,0.0013791421461239526,0.9999997372221783,-2.6277785625066694e-07
1,470.3972,0,5203.702332,2447.80676,5.2037023322,1,4,0,none,6.155701050730466,7.803356148163165,8.557317790556855,1.8251462641825587,0.9999998992541612,-1.0074584385736345e-07
4,35294.9109,1,1.003974,35.43516,0.0010039736,1,0,0,none,10.471522397684675,3.5955342424945163,0.6951322090865584,0.0010034699555742017,0.9999996366317545,-3.6336831151113575e-07
3,8674.2755,3,0.647678,5.618142,0.0006476785,2,4,0,none,9.06823236223586,1.889814665902654,0.49936702404697497,0.0006474688468006811,1.0000008174614943,8.174611601520651e-07
1,481.809,0,1691.446603,814.954227,1.6914466027,1,1,0,none,6.179621130308951,6.704358259028014,7.433930455101152,0.990078819587447,1.0000000376157003,3.761569962486808e-08
6,24890.5608,2,0.185066,4.606384,0.0001850655,0,2,0,none,10.122284101310404,1.7239059484345296,0.16979846923865027,0.00018504837749284587,0.9999972809303906,-2.7190733060346647e-06
7,13374.1362,2,0.110825,1.48219,0.0001108251,0,1,0,none,9.50115275488993,0.9091412350209368,0.10510298249900893,0.00011081895935229274,1.0000009145495783,9.145491600900807e-07
7,19748.8066,2,0.063633,1.25667,6.36327e-05,2,1,0,none,9.890898977876258,0.8138902753598574,0.061690406607177124,6.363067552562674e-05,0.9999953763112558,-4.62369943349146e-06
3,12356.6786,3,0.469607,5.802784,0.0004696071,2,0,0,none,9.422032897838156,1.9173319401606381,0.38499501810830583,0.00046949686909460853,1.0000002124135696,2.124135470626681e-07
1,298.6255,0,2038.978459,608.89086,2.0389784595,2,1,0,none,5.702533361505763,6.413280023126829,7.620694527468786,1.11152142588716,0.9999998327973137,-1.672027002304033e-07
1,180.0266,0,4931.293841,887.763982,4.9312938415,2,2,0,none,5.198643981794035,6.789831713201858,8.50355944097666,1.7802423749610063,0.9999999078626024,-9.213740184503947e-08
3,5676.4822,3,2.488781,14.127522,0.0024887811,2,2,0,none,8.64426313879206,2.7165157338183556,1.2495523915329658,0.0024856892132750896,1.000000067506663,6.750666064774524e-08
4,7763.3087,1,1.111544,8.629257,0.0011115437,1,3,0,none,8.957292703931243,2.264806068108637,0.7474194334413826,0.0011109263927018402,0.99999974438909,-2.55610942662294e-07
3,5796.6186,3,2.276604,13.196603,0.0022766037,1,1,0,none,8.665202526014017,2.6530027106361533,1.186807520180916,0.0022740161642480655,0.9999998415248177,-1.5847519486746228e-07
3,2809.3743,3,2.432085,6.832637,0.0024320851,1,2,0,none,7.941072956304055,2.0582992349137106,1.233167948218788,0.00242913236759512,0.9999999861670541,-1.3832945995525044e-08
7,17031.2442,2,0.15938,2.714437,0.0001593798,1,2,0,none,9.742863544187768,1.3122271189059243,0.14788537947282698,0.00015936710038903237,0.9999990050631815,-9.949373134380216e-07
4,75677.5279,1,0.943796,71.424181,0.0009437964,1,2,0,none,11.234249751898096,4.282540235341561,0.6646427622602367,0.0009433513042088621,1.0000004603203885,4.6032028252603663e-07
5,12.2537,0,132.007609,1.617587,0.1320076091,1,1,0,none,2.5842767587335427,0.9622529010325402,4.890406337111609,0.12399270157818786,1.0000033145138225,3.3145083295277716e-06
1,221.9814,0,4613.911332,1024.20255,4.6139113322,1,2,0,none,5.407088359909723,6.93264548180637,8.437047933751296,1.7252476837643755,1.0000000517931515,5.179315020408879e-08
5,0.060333,0,187.25679,0.011297755999999999,0.1872566589,1,4,1,magnitude_underflow,0.058583009732296555,0.011234412997391183,5.237806935086635,0.17164531710687625,0.999999290915442,-7.090848093599459e-07
4,10908.9869,1,0.496346,5.414629,0.0004963457,1,0,0,none,9.297433878093123,1.858581163191766,0.4030261362328578,0.0004962225612176309,0.9999994437355311,-5.562646236467813e-07
6,4874.4666,2,0.144286,0.703315,0.0001442856,0,4,0,none,8.49197109167228,0.5325763522801863,0.1347808617128135,0.00014427519183396993,0.9999967469197201,-3.2530855712073385e-06
7,67684.7154,2,0.135186,9.150034,0.0001351861,0,1,0,none,11.12263043811415,2.3174770552358805,0.12679651415903667,0.00013517696318262126,1.0000008812910102,8.812906218318448e-07
7,101289.4589,2,0.050653,5.130566,5.06525e-05,0,4,0,none,11.525747499226409,1.81328707847527,0.04941187562871006,5.065121720543953e-05,0.9999904569409195,-9.543104615797006e-06
6,6655.04,2,0.062694,0.417233,6.26943e-05,1,1,0,none,8.803279992098371,0.3487063790894774,0.06080719338452593,6.269233479451145e-05,1.0000046068955597,4.606884947989306e-06
5,9.3214,0,43.252968,0.403179,0.0432529678,2,3,0,none,2.334219409767307,0.33874037673131857,3.7899224426509432,0.04234368524943738,1.0000019445118036,1.9445099130148396e-06
4,19980.1389,1,0.280242,5.599279,0.0002802422,1,3,0,none,9.902544052579994,1.8869604006407492,0.24704912256146366,0.0002802029394894662,1.0000008776648766,8.776644914053491e-07
4,5000.0,1,0.309993,1.549965,0.000309993,2,2,1,copy_paste_duplicate,8.517393171418904,0.9360796335859433,0.27002179368733314,0.0003099449620973281,0.9999999999354824,-6.451761347600575e-11
7,36065.726,2,0.085713,3.091284,8.57125e-05,0,3,0,none,10.493126001826719,1.408858857217298,0.0822369140257446,8.57088268935578e-05,0.9999943154242359,-5.6845919213708975e-06
5,14.0103,0,86.911094,1.217652,0.086911094,2,0,0,none,2.708736632121189,0.7964489785119776,4.476326008331212,0.08333981454567757,1.0000012315781905,1.23157743214963e-06
6,16403.7283,2,0.104663,1.716857,0.0001046626,0,3,0,none,9.705324883234276,0.9994756974801732,0.09954031107909313,0.00010465712325221773,0.9999962634401529,-3.736566828046673e-06
5,0.005845100000000001,0,341.076392,0.001993632,0.3410774837,0,4,1,magnitude_underflow,0.005828083678862987,0.001991647353056961,5.835034080540646,0.29347338316722327,1.0000031506018108,3.1505968476397395e-06
7,7147.8972,2,0.044949,0.321291,4.49491e-05,0,4,0,none,8.87471338602995,0.2786092889412871,0.04396808039807758,4.494808981947562e-05,1.000000524936237,5.2493609914409e-07
6,7243.7858,2,0.084675,0.61337,8.46753e-05,1,1,0,none,8.888037289100332,0.4783251590748973,0.08128040295109804,8.467171524914343e-05,1.0000039736124766,3.973604581838286e-06
6,6766.8077,2,0.251366,1.700945,0.0002513659,0,3,0,none,8.81993248776183,0.9936017117745712,0.22423575464294507,0.0002513343128853301,0.999999773997329,-2.2600269656073719e-07
1,176.5084,0,3016.162253,532.378063,3.0161622527,2,3,0,none,5.17901793173939,6.279230484168028,8.012072017295358,1.3903267831420318,1.0000001682685595,1.682685453734075e-07
5,83.2246,0,300.656425,25.022001,0.3006564251,0,2,0,none,4.433487040097605,3.258942372510305,5.70928870417925,0.2628690794115988,0.9999996120153927,-3.8798468259674085e-07
1,248.1712,0,2863.544412,710.649352,2.8635444116,0,3,0,none,5.518140210411156,6.5675853069562535,7.96016459800493,1.3515850034982033,1.0000001393381688,1.393381590733053e-07
6,15931.1029,2,0.194111,3.092408,0.0001941114,1,4,0,none,9.67609140298015,1.4091335498638609,0.17740197547356948,0.00019409256281982987,1.0000018383371634,1.838335473644859e-06
4,18517.4156,1,0.370427,6.859347,0.0003704268,2,2,0,none,9.826520953784556,2.0617035241094666,0.3151223701103933,0.0003703582089310449,0.9999994593422383,-5.406579078272414e-07
3,14345.4699,3,1.066025,15.292634,0.0010660253,2,4,0,none,9.571259190924804,2.790713103833817,0.7256264713018721,0.001065457498521214,1.0000002909736672,2.909736248279695e-07
1,268.5916,0,1076.91033,289.249093,1.0769103296,2,1,0,none,5.596908221282725,5.670739495680784,6.982779566190961,0.7308813709239572,1.0000000843863464,8.438634279457558e-08
7,54000.699,2,0.084518,4.56403,8.4518e-05,1,2,0,none,10.896770788014425,1.716322665851118,0.08113564865742831,8.451442855507085e-05,0.9999997637654122,-2.3623461568383188e-07
6,4363.204,2,0.102406,0.446816,0.0001024055,1,4,0,none,8.381191091964887,0.3693652799232385,0.09749506393298281,0.000102400256914729,0.9999949220429024,-5.077969990455637e-06
1,350.4913,0,3794.371522,1329.894324,3.7943715224,0,2,0,none,5.862184959877551,7.1936064193001865,8.241537582798268,1.567442630381141,1.000000087654447,8.765444319241818e-08
4,18456.764,1,0.204638,3.776963,0.0002046384,2,4,0,none,9.823240373959841,1.5638049889308954,0.1861791068712521,0.00020461746441872324,1.000002046216448,2.0462143545614475e-06
1,353.745,0,2843.378017,1005.830868,2.8433780169,0,1,0,none,5.871399221508125,6.914562922306463,7.953099699460302,1.346351671798526,1.0000001107305918,1.1073058567625307e-07
4,39960.1236,1,1.088732,43.505859,0.0010887318,0,1,0,none,10.5956623504853,3.795620843426741,0.7365571832960798,0.0010881395613542215,0.999999855482125,-1.4451788544306973e-07
4,700.8225610976531,7,0.28316,0.19844491640041148,0.00028316,2,4,1,unit_error_km_vs_tonne_km,6.553680610106965,0.18102481338586826,0.2493257855744285,0.00028311991777347703,0.9999999994960818,-5.039182405956594e-10
6,33553.595,2,0.210568,7.065325,0.0002105683,2,0,0,none,10.420929092783245,2.0875740083473913,0.1910896709524544,0.00021054613360715606,1.000001642947645,1.6429462954049106e-06
3,2937.897,3,1.57497,4.627099,0.0015749697,0,0,0,none,7.985789619870803,1.7275940340408202,0.9458378835623951,0.0015737307359386834,0.9999998620755874,-1.3792442206923886e-07
7,27116.3524,2,0.031951,0.866385,3.19507e-05,2,0,0,none,10.207929111919933,0.6240034048303784,0.031451185311975625,3.195018958725675e-05,0.9999889477235091,-1.105233756775497e-05
1,251.2862,0,3335.706464,838.216905,3.3357064638,1,2,0,none,5.530564157361551,6.732469201064134,8.112739510842754,1.4668845643826687,0.9999998846908418,-1.153091648698784e-07
6,26957.7076,2,0.220647,5.948148,0.0002206474,1,0,0,none,10.202061626191735,1.9384751492458332,0.19938104603989146,0.00022062306094260397,1.0000017973833226,1.797381707330002e-06
7,45753.4168,2,0.034848,1.594397,3.48476e-05,1,1,0,none,10.731043608120283,0.9533541196735773,0.034254556028979206,3.484699283649254e-05,0.9999886674763969,-1.1332587816611088e-05
