year,month,sector,co2_mt,date,month_sin,month_cos,year_norm,sector_id,category_id
1990,1,cement,3.378,1990-01-01,0.49999999999999994,0.8660254037844387,0.0,3,1
1990,2,cement,2.915,1990-02-01,0.8660254037844386,0.5000000000000001,0.0,3,1
1990,3,cement,3.603,1990-03-01,1.0,6.123233995736766e-17,0.0,3,1
1990,4,cement,4.029,1990-04-01,0.8660254037844387,-0.4999999999999998,0.0,3,1
1990,5,cement,4.034,1990-05-01,0.49999999999999994,-0.8660254037844387,0.0,3,1
1990,6,cement,3.87,1990-06-01,1.2246467991473532e-16,-1.0,0.0,3,1
1990,7,cement,4.077,1990-07-01,-0.4999999999999997,-0.8660254037844388,0.0,3,1
1990,8,cement,3.965,1990-08-01,-0.8660254037844384,-0.5000000000000004,0.0,3,1
1990,9,cement,3.9,1990-09-01,-1.0,-1.8369701987210297e-16,0.0,3,1
1990,10,cement,3.249,1990-10-01,-0.8660254037844386,0.5000000000000001,0.0,3,1
1990,11,cement,3.96,1990-11-01,-0.5000000000000004,0.8660254037844384,0.0,3,1
1990,12,cement,3.611,1990-12-01,-2.4492935982947064e-16,1.0,0.0,3,1
1991,1,cement,3.903,1991-01-01,0.49999999999999994,0.8660254037844387,0.030303030303030304,3,1
1991,2,cement,3.304,1991-02-01,0.8660254037844386,0.5000000000000001,0.030303030303030304,3,1
1991,3,cement,4.096,1991-03-01,1.0,6.123233995736766e-17,0.030303030303030304,3,1
1991,4,cement,4.11,1991-04-01,0.8660254037844387,-0.4999999999999998,0.030303030303030304,3,1
1991,5,cement,4.172,1991-05-01,0.49999999999999994,-0.8660254037844387,0.030303030303030304,3,1
1991,6,cement,4.638,1991-06-01,1.2246467991473532e-16,-1.0,0.030303030303030304,3,1
1991,7,cement,4.657,1991-07-01,-0.4999999999999997,-0.8660254037844388,0.030303030303030304,3,1
1991,8,cement,4.196,1991-08-01,-0.8660254037844384,-0.5000000000000004,0.030303030303030304,3,1
1991,9,cement,3.914,1991-09-01,-1.0,-1.8369701987210297e-16,0.030303030303030304,3,1
1991,10,cement,4.004,1991-10-01,-0.8660254037844386,0.5000000000000001,0.030303030303030304,3,1
1991,11,cement,3.292,1991-11-01,-0.5000000000000004,0.8660254037844384,0.030303030303030304,3,1
1991,12,cement,4.03,1991-12-01,-2.4492935982947064e-16,1.0,0.030303030303030304,3,1
1992,1,cement,3.653,1992-01-01,0.49999999999999994,0.8660254037844387,0.06060606060606061,3,1
1992,2,cement,3.48,1992-02-01,0.8660254037844386,0.5000000000000001,0.06060606060606061,3,1
1992,3,cement,4.522,1992-03-01,1.0,6.123233995736766e-17,0.06060606060606061,3,1
1992,4,cement,4.7,1992-04-01,0.8660254037844387,-0.4999999999999998,0.06060606060606061,3,1
1992,5,cement,4.195,1992-05-01,0.49999999999999994,-0.8660254037844387,0.06060606060606061,3,1
1992,6,cement,4.671,1992-06-01,1.2246467991473532e-16,-1.0,0.06060606060606061,3,1
1992,7,cement,4.394,1992-07-01,-0.4999999999999997,-0.8660254037844388,0.06060606060606061,3,1
1992,8,cement,4.572,1992-08-01,-0.8660254037844384,-0.5000000000000004,0.06060606060606061,3,1
1992,9,cement,4.343,1992-09-01,-1.0,-1.8369701987210297e-16,0.06060606060606061,3,1
1992,10,cement,3.97,1992-10-01,-0.8660254037844386,0.5000000000000001,0.06060606060606061,3,1
1992,11,cement,4.284,1992-11-01,-0.5000000000000004,0.8660254037844384,0.06060606060606061,3,1
1992,12,cement,4.449,1992-12-01,-2.4492935982947064e-16,1.0,0.06060606060606061,3,1
1993,1,cement,4.423,1993-01-01,0.49999999999999994,0.8660254037844387,0.09090909090909091,3,1
1993,2,cement,3.759,1993-02-01,0.8660254037844386,0.5000000000000001,0.09090909090909091,3,1
1993,3,cement,4.46,1993-03-01,1.0,6.123233995736766e-17,0.09090909090909091,3,1
1993,4,cement,4.611,1993-04-01,0.8660254037844387,-0.4999999999999998,0.09090909090909091,3,1
1993,5,cement,4.931,1993-05-01,0.49999999999999994,-0.8660254037844387,0.09090909090909091,3,1
1993,6,cement,5.32,1993-06-01,1.2246467991473532e-16,-1.0,0.09090909090909091,3,1
1993,7,cement,4.823,1993-07-01,-0.4999999999999997,-0.8660254037844388,0.09090909090909091,3,1
1993,8,cement,4.931,1993-08-01,-0.8660254037844384,-0.5000000000000004,0.09090909090909091,3,1
1993,9,cement,4.701,1993-09-01,-1.0,-1.8369701987210297e-16,0.09090909090909091,3,1
1993,10,cement,3.851,1993-10-01,-0.8660254037844386,0.5000000000000001,0.09090909090909091,3,1
1993,11,cement,4.568,1993-11-01,-0.5000000000000004,0.8660254037844384,0.09090909090909091,3,1
1993,12,cement,4.077,1993-12-01,-2.4492935982947064e-16,1.0,0.09090909090909091,3,1
1994,1,cement,4.277,1994-01-01,0.49999999999999994,0.8660254037844387,0.12121212121212122,3,1
1994,2,cement,4.578,1994-02-01,0.8660254037844386,0.5000000000000001,0.12121212121212122,3,1
1994,3,cement,4.854,1994-03-01,1.0,6.123233995736766e-17,0.12121212121212122,3,1
1994,4,cement,4.917,1994-04-01,0.8660254037844387,-0.4999999999999998,0.12121212121212122,3,1
1994,5,cement,5.346,1994-05-01,0.49999999999999994,-0.8660254037844387,0.12121212121212122,3,1
1994,6,cement,5.357,1994-06-01,1.2246467991473532e-16,-1.0,0.12121212121212122,3,1
1994,7,cement,5.238,1994-07-01,-0.4999999999999997,-0.8660254037844388,0.12121212121212122,3,1
1994,8,cement,5.291,1994-08-01,-0.8660254037844384,-0.5000000000000004,0.12121212121212122,3,1
1994,9,cement,4.757,1994-09-01,-1.0,-1.8369701987210297e-16,0.12121212121212122,3,1
1994,10,cement,4.648,1994-10-01,-0.8660254037844386,0.5000000000000001,0.12121212121212122,3,1
1994,11,cement,4.393,1994-11-01,-0.5000000000000004,0.8660254037844384,0.12121212121212122,3,1
1994,12,cement,4.609,1994-12-01,-2.4492935982947064e-16,1.0,0.12121212121212122,3,1
1995,1,cement,4.79,1995-01-01,0.49999999999999994,0.8660254037844387,0.15151515151515152,3,1
1995,2,cement,4.987,1995-02-01,0.8660254037844386,0.5000000000000001,0.15151515151515152,3,1
1995,3,cement,5.482,1995-03-01,1.0,6.123233995736766e-17,0.15151515151515152,3,1
1995,4,cement,5.385,1995-04-01,0.8660254037844387,-0.4999999999999998,0.15151515151515152,3,1
1995,5,cement,6.216,1995-05-01,0.49999999999999994,-0.8660254037844387,0.15151515151515152,3,1
1995,6,cement,5.692,1995-06-01,1.2246467991473532e-16,-1.0,0.15151515151515152,3,1
1995,7,cement,5.464,1995-07-01,-0.4999999999999997,-0.8660254037844388,0.15151515151515152,3,1
1995,8,cement,5.823,1995-08-01,-0.8660254037844384,-0.5000000000000004,0.15151515151515152,3,1
1995,9,cement,5.785,1995-09-01,-1.0,-1.8369701987210297e-16,0.15151515151515152,3,1
1995,10,cement,5.06,1995-10-01,-0.8660254037844386,0.5000000000000001,0.15151515151515152,3,1
1995,11,cement,4.558,1995-11-01,-0.5000000000000004,0.8660254037844384,0.15151515151515152,3,1
1995,12,cement,5.36,1995-12-01,-2.4492935982947064e-16,1.0,0.15151515151515152,3,1
1996,1,cement,4.473,1996-01-01,0.49999999999999994,0.8660254037844387,0.18181818181818182,3,1
1996,2,cement,4.373,1996-02-01,0.8660254037844386,0.5000000000000001,0.18181818181818182,3,1
1996,3,cement,5.546,1996-03-01,1.0,6.123233995736766e-17,0.18181818181818182,3,1
1996,4,cement,6.013,1996-04-01,0.8660254037844387,-0.4999999999999998,0.18181818181818182,3,1
1996,5,cement,6.202,1996-05-01,0.49999999999999994,-0.8660254037844387,0.18181818181818182,3,1
1996,6,cement,6.379,1996-06-01,1.2246467991473532e-16,-1.0,0.18181818181818182,3,1
1996,7,cement,5.377,1996-07-01,-0.4999999999999997,-0.8660254037844388,0.18181818181818182,3,1
1996,8,cement,6.054,1996-08-01,-0.8660254037844384,-0.5000000000000004,0.18181818181818182,3,1
1996,9,cement,5.858,1996-09-01,-1.0,-1.8369701987210297e-16,0.18181818181818182,3,1
1996,10,cement,5.509,1996-10-01,-0.8660254037844386,0.5000000000000001,0.18181818181818182,3,1
1996,11,cement,5.602,1996-11-01,-0.5000000000000004,0.8660254037844384,0.18181818181818182,3,1
1996,12,cement,5.272,1996-12-01,-2.4492935982947064e-16,1.0,0.18181818181818182,3,1
1997,1,cement,6.551,1997-01-01,0.49999999999999994,0.8660254037844387,0.21212121212121213,3,1
1997,2,cement,4.813,1997-02-01,0.8660254037844386,0.5000000000000001,0.21212121212121213,3,1
1997,3,cement,5.647,1997-03-01,1.0,6.123233995736766e-17,0.21212121212121213,3,1
1997,4,cement,6.686,1997-04-01,0.8660254037844387,-0.4999999999999998,0.21212121212121213,3,1
1997,5,cement,6.431,1997-05-01,0.49999999999999994,-0.8660254037844387,0.21212121212121213,3,1
1997,6,cement,6.302,1997-06-01,1.2246467991473532e-16,-1.0,0.21212121212121213,3,1
1997,7,cement,6.076,1997-07-01,-0.4999999999999997,-0.8660254037844388,0.21212121212121213,3,1
1997,8,cement,6.397,1997-08-01,-0.8660254037844384,-0.5000000000000004,0.21212121212121213,3,1
1997,9,cement,6.097,1997-09-01,-1.0,-1.8369701987210297e-16,0.21212121212121213,3,1
1997,10,cement,6.459,1997-10-01,-0.8660254037844386,0.5000000000000001,0.21212121212121213,3,1
1997,11,cement,6.716,1997-11-01,-0.5000000000000004,0.8660254037844384,0.21212121212121213,3,1
1997,12,cement,6.26,1997-12-01,-2.4492935982947064e-16,1.0,0.21212121212121213,3,1
1998,1,cement,5.875,1998-01-01,0.49999999999999994,0.8660254037844387,0.24242424242424243,3,1
1998,2,cement,5.94,1998-02-01,0.8660254037844386,0.5000000000000001,0.24242424242424243,3,1
1998,3,cement,6.923,1998-03-01,1.0,6.123233995736766e-17,0.24242424242424243,3,1
1998,4,cement,7.054,1998-04-01,0.8660254037844387,-0.4999999999999998,0.24242424242424243,3,1
1998,5,cement,6.714,1998-05-01,0.49999999999999994,-0.8660254037844387,0.24242424242424243,3,1
1998,6,cement,7.069,1998-06-01,1.2246467991473532e-16,-1.0,0.24242424242424243,3,1
1998,7,cement,6.904,1998-07-01,-0.4999999999999997,-0.8660254037844388,0.24242424242424243,3,1
1998,8,cement,6.924,1998-08-01,-0.8660254037844384,-0.5000000000000004,0.24242424242424243,3,1
1998,9,cement,6.013,1998-09-01,-1.0,-1.8369701987210297e-16,0.24242424242424243,3,1
1998,10,cement,7.005,1998-10-01,-0.8660254037844386,0.5000000000000001,0.24242424242424243,3,1
1998,11,cement,5.765,1998-11-01,-0.5000000000000004,0.8660254037844384,0.24242424242424243,3,1
1998,12,cement,6.985,1998-12-01,-2.4492935982947064e-16,1.0,0.24242424242424243,3,1
1999,1,cement,6.651,1999-01-01,0.49999999999999994,0.8660254037844387,0.2727272727272727,3,1
1999,2,cement,6.469,1999-02-01,0.8660254037844386,0.5000000000000001,0.2727272727272727,3,1
1999,3,cement,6.941,1999-03-01,1.0,6.123233995736766e-17,0.2727272727272727,3,1
1999,4,cement,7.854,1999-04-01,0.8660254037844387,-0.4999999999999998,0.2727272727272727,3,1
1999,5,cement,7.523,1999-05-01,0.49999999999999994,-0.8660254037844387,0.2727272727272727,3,1
1999,6,cement,7.049,1999-06-01,1.2246467991473532e-16,-1.0,0.2727272727272727,3,1
1999,7,cement,7.593,1999-07-01,-0.4999999999999997,-0.8660254037844388,0.2727272727272727,3,1
1999,8,cement,7.337,1999-08-01,-0.8660254037844384,-0.5000000000000004,0.2727272727272727,3,1
1999,9,cement,7.604,1999-09-01,-1.0,-1.8369701987210297e-16,0.2727272727272727,3,1
1999,10,cement,6.757,1999-10-01,-0.8660254037844386,0.5000000000000001,0.2727272727272727,3,1
1999,11,cement,6.274,1999-11-01,-0.5000000000000004,0.8660254037844384,0.2727272727272727,3,1
1999,12,cement,6.949,1999-12-01,-2.4492935982947064e-16,1.0,0.2727272727272727,3,1
2000,1,cement,7.211,2000-01-01,0.49999999999999994,0.8660254037844387,0.30303030303030304,3,1
2000,2,cement,7.194,2000-02-01,0.8660254037844386,0.5000000000000001,0.30303030303030304,3,1
2000,3,cement,7.041,2000-03-01,1.0,6.123233995736766e-17,0.30303030303030304,3,1
2000,4,cement,7.678,2000-04-01,0.8660254037844387,-0.4999999999999998,0.30303030303030304,3,1
2000,5,cement,8.339,2000-05-01,0.49999999999999994,-0.8660254037844387,0.30303030303030304,3,1
2000,6,cement,8.422,2000-06-01,1.2246467991473532e-16,-1.0,0.30303030303030304,3,1
2000,7,cement,6.877,2000-07-01,-0.4999999999999997,-0.8660254037844388,0.30303030303030304,3,1
2000,8,cement,8.108,2000-08-01,-0.8660254037844384,-0.5000000000000004,0.30303030303030304,3,1
2000,9,cement,7.686,2000-09-01,-1.0,-1.8369701987210297e-16,0.30303030303030304,3,1
2000,10,cement,7.366,2000-10-01,-0.8660254037844386,0.5000000000000001,0.30303030303030304,3,1
2000,11,cement,6.641,2000-11-01,-0.5000000000000004,0.8660254037844384,0.30303030303030304,3,1
2000,12,cement,8.074,2000-12-01,-2.4492935982947064e-16,1.0,0.30303030303030304,3,1
2001,1,cement,6.292,2001-01-01,0.49999999999999994,0.8660254037844387,0.3333333333333333,3,1
2001,2,cement,6.037,2001-02-01,0.8660254037844386,0.5000000000000001,0.3333333333333333,3,1
2001,3,cement,7.41,2001-03-01,1.0,6.123233995736766e-17,0.3333333333333333,3,1
