nic_4digit,nic_2digit,sector_name,region,year,inr_usd,intensity_kg_co2e_per_inr_lakh,log_intensity,is_augmented
104,10,Vegetable and animal oils,east,2023,83.1,0.09605487,-2.34283572,1
321,3,Aquaculture,north,2019,70.4,0.07235618,-2.62615443,1
461,46,Wholesale of agricultural materials,north,2015,65.5,0.03025411,-3.49812333,1
171,17,Pulp and paper,west,2012,53.4,0.35014982,-1.04939416,1
851,85,Pre-primary education,south,2017,65.1,0.01374265,-4.28725096,1
561,56,Restaurants,east,2020,74.2,0.05655536,-2.87253527,1
491,49,Passenger rail transport,east,2012,53.4,0.06213656,-2.7784208,1
581,58,Publishing,west,2010,45.7,0.02218467,-3.8083537,1
301,30,Ships and boats,east,2023,83.1,0.34993127,-1.05001851,1
510,5,Mining of hard coal,central,2010,45.7,0.165682,-1.79768499,1
192,19,Refined petroleum products,east,2013,58.6,0.82810486,-0.18861549,1
291,29,Motor vehicles,west,2015,65.5,0.44029322,-0.82031437,1
494,49,Freight transport by road,central,2013,58.6,0.15919672,-1.83761461,1
351,35,Generation of electricity,central,2016,67.1,0.99079316,-0.00924948,1
493,49,Other land passenger transport,west,2019,70.4,0.14351673,-1.94130368,1
232,23,Refractory products,central,2012,53.4,0.54494394,-0.60707235,1
161,16,Sawmilling and planing,central,2014,61.0,0.12860332,-2.05102266,1
102,10,Processing fish,central,2019,70.4,0.10293318,-2.27367527,1
812,81,Building cleaning,south,2016,67.1,0.0150731,-4.19484365,0
461,46,Wholesale of agricultural materials,north,2022,78.6,0.02325626,-3.76118086,1
411,41,Building construction,north,2021,73.9,0.33795589,-1.08483989,1
161,16,Sawmilling and planing,south,2011,46.7,0.10120739,-2.29058347,1
192,19,Refined petroleum products,east,2014,61.0,0.74177989,-0.29870272,1
462,46,Wholesale of textiles,east,2011,46.7,0.05165417,-2.96318426,1
251,25,Structural metal products,central,2013,58.6,0.95169729,-0.04950827,1
131,13,Spinning and weaving,west,2021,73.9,0.14297688,-1.94507236,1
360,36,Water collection and supply,east,2023,83.1,0.08298614,-2.48908173,1
710,7,Mining of iron ores,south,2015,65.5,0.2003604,-1.60763755,1
